helek,time_s,entropy,trit,rauzy_tile,brain_color,splitmix_hue,commit_hash,splitmix_seed
126,420.084,0.682,0,b,#a57479,91.77,15f6dbd14344c06b,7764280815661086229
127,423.418,0.759,0,a,#e79e56,220.70,1f0650befe53b8f0,17345706318397179423
128,426.752,0.4191,0,c,#b98eb6,338.14,a1faa7f19d0c05a7,12035039451721235105
129,430.086,0.9908,0,a,#dc0f93,52.99,c1bb766bd8aee9f5,17719886453405039553
130,433.42,0.9529,0,b,#104d5c,46.36,18c552cac516cece,14901873255774340376
131,436.754,0.8238,0,a,#2a3829,66.65,a26d5a98fb453f66,7367684462296591778
132,440.088,1.5942,0,a,#381ab4,119.56,fdc24544f2e9a116,1630841766821610237
133,443.422,0.4352,0,b,#5a4116,281.18,674c6241e77219ea,16868640216852876391
134,446.756,0.6952,0,a,#4d6bbf,58.55,f93c09ff3a27804b,5440391484203941113
135,450.09,1.1409,0,c,#4a15d4,53.32,6b9fce76a795b877,8626809632713514859
136,453.424,0.8758,0,a,#ff1113,169.47,1557f4863cda9df0,17338254093943330581
137,456.758,0.3972,0,b,#f35047,77.51,ad38da6a050b9a60,6960888291949951149
138,460.092,0.3922,0,a,#8f6872,327.86,131f50855fb898f4,17625039862112460563
139,463.426,1.2345,0,b,#308b8a,77.22,ee4c616f825449cb,14648332182190378222
140,466.76,0.338,0,a,#965bba,334.34,50961b78188cefb8,13326023859134764624
141,470.094,0.613,0,c,#77789f,160.31,e36532d457655689,9896208659089876451
142,473.428,1.0327,0,a,#61fc16,111.26,99ff67f81ccce3cc,14763868428249333657
143,476.762,0.7368,0,b,#ba32cb,175.15,a6ff21417693476e,7946482203626700710
144,480.096,1.4109,-1,a,#47b305,15.09,ec1bc4c52b237db7,13221762751938173932
145,483.43,1.4218,0,a,#0324b6,261.02,5b20681a33afff54,6124806652268388443
146,486.764,0.2754,0,b,#2cb11a,301.06,0d4e3fff49a46c39,4137862795368549901
147,490.098,1.0328,0,a,#241731,70.57,34e7c12375d6b434,3797896184379598644
148,493.432,0.5036,0,c,#c2782c,319.80,25442a92bf841752,5915342593900299301
149,496.766,0.5502,0,a,#c3af3d,250.21,1c457d86e123d764,7266315975316555036
150,500.1,0.4621,0,b,#f5ca70,306.08,c5cb69f68795ea2e,3380678881482230725
151,503.434,0.6018,0,a,#55d3b4,246.28,1348d641393ae343,4891817637846599699
152,506.768,0.7912,0,c,#b2cd11,330.73,7c28442e4e07ab5e,6821554092947810428
153,510.102,0.3542,0,a,#d5493e,193.26,1d1359c14b537342,4788262413656462109
154,513.436,1.1071,0,b,#263a95,331.09,a4cdbd3bc1b00c60,6921101071339081124
155,516.77,0.7675,0,a,#785a65,118.77,4f4d805f38c47d1d,2125070345588198735
156,520.104,0.2575,0,a,#9b1c0a,218.98,07fab5a5fb1ad778,8707458072663423495
157,523.438,0.2239,0,b,#46d3e7,87.43,508350e4e4c3bef6,17779863766755738448
158,526.772,0.2157,0,a,#34f4b2,306.74,23eda9525d8994cb,14669500920164379939
159,530.106,0.2445,0,c,#91f594,138.44,7f62bebdaa454e55,6146927141037433471
160,533.44,0.4002,0,a,#c86da0,57.28,d71c37d4d889ce1f,2291920824744484055
161,536.774,1.0905,0,b,#12c08a,291.94,1d67929b728ea46c,7828538675164243741
162,540.108,0.5449,0,a,#9b8997,186.47,531484c155f59461,7031514666899870803
