helek,time_s,entropy,trit,ch_trits,delta,theta,alpha,beta,gamma,commit_hash,splitmix_seed
97,323.398,0.2713,0,"[0, 0, 0, 0]",1435.86,42.29,7.79,3.97,1.57,d4354dbd078d7e57,6304631592745514452
98,326.732,0.7569,0,"[0, 0, 0, 0]",2516.8,363.02,71.31,11.96,7.76,8dfba75ed10d0778,8648896802275720077
99,330.066,0.563,0,"[0, 0, 0, 0]",444.44,33.79,5.4,4.23,2.43,9719d7a63e79c92e,3371359106057574807
100,333.4,0.4836,0,"[0, 0, 0, 0]",1491.63,98.5,18.45,7.27,3.69,92ae1218cdf85167,7445005218776002194
101,336.734,0.6112,0,"[0, 0, 0, 0]",1958.64,246.98,23.35,4.26,1.55,23afdd57df36b33f,4590072778100420387
102,340.068,0.2274,0,"[0, 0, 0, 0]",8297.87,198.75,42.12,13.29,4.85,34b3eb5afd79f50a,789671438732473140
103,343.402,0.5504,0,"[0, 0, 0, 0]",5765.48,405.55,154.04,22.71,6.81,2b13eb8ad22b01c2,13979502901608518443
104,346.736,0.5011,0,"[0, 0, 0, 0]",2005.8,114.72,33.12,11.95,10.09,a20c7692a86cadf0,17342637211341163682
105,350.07,0.6103,0,"[0, 0, 0, 0]",802.23,69.13,15.44,6.39,3.34,abdbcbfe8f7ed7ce,14904520648726141867
106,353.404,0.587,0,"[0, 0, 0, 0]",4306.0,439.42,72.84,14.23,3.5,bc86f1716a23829c,11277615356974302908
107,356.738,1.8804,1,"[0, 1, 0, 0]",39.81,7.21,7.49,10.1,7.45,cee2ac246a65d2da,15767776751933776590
108,360.072,1.0652,0,"[0, 0, 0, 0]",919.71,201.33,51.0,16.93,10.29,88eb43a7ce657a2a,3060870834995587976
109,363.406,0.8536,0,"[0, 0, 0, 0]",1321.68,213.42,31.8,16.46,13.74,8fbfb50a9cb3a1e8,16762876770825650063
110,366.74,1.1277,0,"[0, 0, 0, 0]",317.59,71.22,11.7,14.17,5.32,c76c30c296f30dd6,15424252127642414279
111,370.074,1.005,0,"[0, 0, 0, 0]",159.1,17.61,9.07,4.65,4.17,d00f5d7d368eb84e,5672440095355768784
112,373.408,0.4183,0,"[0, 0, 0, 0]",1625.15,71.22,21.87,9.75,4.16,c5f9daf50d3461c6,14294763926814652869
113,376.742,0.5672,0,"[0, 0, 0, 0]",427.37,22.98,8.26,6.33,3.05,73c27d20d15c6101,99462720041894515
114,380.076,0.3347,0,"[0, 0, 0, 0]",5342.09,236.14,32.71,10.16,6.83,9c35bdb884bd26f5,17665014966140089756
115,383.41,0.7789,0,"[0, 0, 0, 0]",405.52,36.73,11.47,6.2,7.78,593695433292ee2f,3453858708819621465
116,386.744,0.7105,0,"[0, 0, 0, 0]",283.43,17.29,10.7,6.76,2.02,125be829e1e4839d,11350167141625649938
117,390.078,0.5416,0,"[0, 0, 0, 0]",523.62,37.98,8.42,3.48,1.75,bea2b2742cb60887,9730227296986636990
118,393.412,0.5941,0,"[0, 0, 0, 0]",373.65,27.42,7.66,3.5,1.93,3a1bbf61a50996be,13733174719627074362
119,396.746,0.8935,0,"[0, 0, 0, 0]",207.2,27.57,7.13,3.13,3.97,9b434222c3612277,8584531330442871707
120,400.08,1.1719,0,"[0, 0, 0, 0]",114.23,24.4,6.79,4.01,2.58,df13de6b68be67e3,16386275124906431455
121,403.414,1.1873,0,"[0, 0, 0, 0]",95.62,11.37,5.04,4.64,6.32,ee8276e5f197b6d0,15039375070843011822
122,406.748,0.4565,0,"[0, 0, 0, 0]",421.91,23.56,3.17,3.1,2.24,64de946795684d9d,11334830828058631780
123,410.082,1.4567,0,"[0, 0, 0, 0]",22.81,4.05,2.15,1.86,1.77,e1f71beb52487f23,2557842634338727905
124,413.416,1.5426,0,"[0, 0, 0, 0]",32.97,6.97,4.17,2.9,2.43,cfe9c9d888ae6f07,535838783456274895
125,416.75,0.2436,0,"[0, 0, 0, 0]",3511.9,94.06,10.1,6.6,8.43,be942ae059cc006c,7782444842481259710
126,420.084,0.682,0,"[0, 0, 0, 0]",230.45,17.06,6.68,3.64,1.78,15f6dbd14344c06b,7764280815661086229
127,423.418,0.759,0,"[0, 0, 0, 0]",339.54,33.68,6.83,5.02,6.16,1f0650befe53b8f0,17345706318397179423
128,426.752,0.4191,0,"[0, 0, 0, 0]",8598.14,615.38,43.57,11.59,8.7,a1faa7f19d0c05a7,12035039451721235105
129,430.086,0.9908,0,"[0, 0, 0, 0]",348.52,63.95,10.53,5.73,8.73,c1bb766bd8aee9f5,17719886453405039553
130,433.42,0.9529,0,"[0, 0, 0, 0]",170.69,22.48,4.66,4.92,4.66,18c552cac516cece,14901873255774340376
131,436.754,0.8238,0,"[0, 0, 0, 0]",123.63,16.77,3.78,1.72,0.93,a26d5a98fb453f66,7367684462296591778
132,440.088,1.5942,0,"[0, 0, 0, 0]",58.91,20.67,6.87,5.98,3.17,fdc24544f2e9a116,1630841766821610237
133,443.422,0.4352,0,"[0, 0, 0, 0]",255.66,7.97,4.83,2.62,1.15,674c6241e77219ea,16868640216852876391
134,446.756,0.6952,0,"[0, 0, 0, 0]",333.99,34.63,6.56,4.37,1.92,f93c09ff3a27804b,5440391484203941113
135,450.09,1.1409,0,"[0, 0, 0, 0]",82.52,11.1,5.95,3.26,2.64,6b9fce76a795b877,8626809632713514859
136,453.424,0.8758,0,"[0, 0, 0, 0]",942.27,128.17,53.2,9.53,4.47,1557f4863cda9df0,17338254093943330581
137,456.758,0.3972,0,"[0, 0, 0, 0]",733.9,38.27,6.57,2.78,0.87,ad38da6a050b9a60,6960888291949951149
138,460.092,0.3922,0,"[0, 0, 0, 0]",4004.86,176.76,50.93,13.2,8.13,131f50855fb898f4,17625039862112460563
139,463.426,1.2345,0,"[0, 0, 0, 0]",164.37,37.23,11.82,7.63,3.14,ee4c616f825449cb,14648332182190378222
140,466.76,0.338,0,"[0, 0, 0, 0]",1594.0,59.27,16.92,4.21,1.69,50961b78188cefb8,13326023859134764624
141,470.094,0.613,0,"[0, 0, 0, 0]",718.98,72.16,16.85,2.17,0.77,e36532d457655689,9896208659089876451
142,473.428,1.0327,0,"[0, 0, 0, 0]",97.92,25.51,4.73,1.24,0.41,99ff67f81ccce3cc,14763868428249333657
143,476.762,0.7368,0,"[0, 0, 0, 0]",209.9,21.92,4.77,4.35,0.88,a6ff21417693476e,7946482203626700710
144,480.096,1.4109,-1,"[0, -1, 0, 0]",1032.73,262.46,180.63,57.43,10.65,ec1bc4c52b237db7,13221762751938173932
145,483.43,1.4218,0,"[0, 0, 0, 0]",160.09,45.4,23.49,7.36,3.84,5b20681a33afff54,6124806652268388443
146,486.764,0.2754,0,"[0, 0, 0, 0]",5237.36,177.03,31.75,6.37,1.93,0d4e3fff49a46c39,4137862795368549901
147,490.098,1.0328,0,"[0, 0, 0, 0]",174.62,26.0,6.78,4.17,6.2,34e7c12375d6b434,3797896184379598644
148,493.432,0.5036,0,"[0, 0, 0, 0]",538.15,32.27,7.22,2.61,4.1,25442a92bf841752,5915342593900299301
149,496.766,0.5502,0,"[0, 0, 0, 0]",697.96,49.45,8.23,4.58,6.39,1c457d86e123d764,7266315975316555036
150,500.1,0.4621,0,"[0, 0, 0, 0]",951.58,41.68,12.24,9.99,5.02,c5cb69f68795ea2e,3380678881482230725
151,503.434,0.6018,0,"[0, 0, 0, 0]",624.37,43.62,7.66,6.23,9.41,1348d641393ae343,4891817637846599699
152,506.768,0.7912,0,"[0, 0, 0, 0]",333.45,29.95,9.28,7.27,5.43,7c28442e4e07ab5e,6821554092947810428
153,510.102,0.3542,0,"[0, 0, 0, 0]",629.96,20.54,5.93,3.37,2.51,1d1359c14b537342,4788262413656462109
154,513.436,1.1071,0,"[0, 0, 0, 0]",81.03,9.7,3.95,3.37,3.8,a4cdbd3bc1b00c60,6921101071339081124
155,516.77,0.7675,0,"[0, 0, 0, 0]",202.95,20.76,6.06,2.93,2.11,4f4d805f38c47d1d,2125070345588198735
156,520.104,0.2575,0,"[0, 0, 0, 0]",23739.17,940.62,39.21,8.07,5.83,07fab5a5fb1ad778,8707458072663423495
157,523.438,0.2239,0,"[0, 0, 0, 0]",9525.58,247.82,24.23,17.78,8.65,508350e4e4c3bef6,17779863766755738448
158,526.772,0.2157,0,"[0, 0, 0, 0]",3711.62,71.54,15.23,10.71,5.69,23eda9525d8994cb,14669500920164379939
159,530.106,0.2445,0,"[0, 0, 0, 0]",1462.28,16.16,8.07,8.97,10.21,7f62bebdaa454e55,6146927141037433471
160,533.44,0.4002,0,"[0, 0, 0, 0]",3403.63,152.64,38.96,14.03,9.72,d71c37d4d889ce1f,2291920824744484055
161,536.774,1.0905,0,"[0, 0, 0, 0]",263.93,48.5,8.95,8.42,8.87,1d67929b728ea46c,7828538675164243741
162,540.108,0.5449,0,"[0, 0, 0, 0]",1674.47,132.16,19.19,10.79,7.95,531484c155f59461,7031514666899870803
163,543.442,1.1821,0,"[0, 0, 0, 0]",110.05,9.92,3.34,8.48,9.46,8671924b13e4fc33,3746119761588810118
164,546.776,1.3936,0,"[0, 0, 0, 0]",71.02,9.86,7.04,6.73,3.89,d164b23c5411f2f3,17578131349073716433
165,550.11,0.598,0,"[0, 0, 0, 0]",309.04,14.68,7.18,4.48,4.19,20d1125b36be3398,10967318658242760992
166,553.444,0.9549,0,"[0, 0, 0, 0]",160.56,16.55,4.41,5.66,6.01,e841c31fcd684676,8522614575055716840
167,556.778,0.451,0,"[0, 0, 0, 0]",1915.51,115.17,14.55,8.16,9.95,a5dec6a9275d4ad3,15225083915212873381
168,560.112,1.6949,0,"[0, 0, 0, 0]",62.72,15.16,6.22,8.9,8.59,a7103f81fc16431e,2180611918333415591
169,563.446,1.9607,0,"[0, 0, 0, 0]",28.62,7.66,5.42,6.52,7.19,17306a752e5b7900,34158727278506007
170,566.78,1.5767,0,"[0, 0, 0, 0]",33.67,7.6,4.67,3.2,2.39,077e40023586b3a1,11651804223166774791
171,570.114,0.5305,0,"[0, 0, 0, 0]",429.6,22.07,8.86,4.45,2.35,40c6cebaccd41650,5771033948294399552
172,573.448,0.6023,0,"[0, 0, 0, 0]",180.91,12.6,4.06,1.94,1.02,4d2e11c1f7b7cd61,7047491266628628045
173,576.782,0.4886,0,"[0, 0, 0, 0]",351.71,25.88,2.47,2.3,0.93,01704e539a0847f7,17818219909630291969
174,580.116,0.0966,0,"[0, 0, 0, 0]",7665.62,61.44,12.3,4.86,3.19,f5158078fb14c453,6035972470874314229
175,583.45,0.3443,0,"[0, 0, 0, 0]",952.72,22.91,12.85,6.49,3.26,f2680895f8f2d935,3880399703422560498
176,586.784,0.418,0,"[0, 0, 0, 0]",631.2,27.28,9.45,3.49,1.38,cafe1c618f60d83c,4384360406171057866
177,590.118,0.3963,0,"[0, 0, 0, 0]",877.94,49.61,5.17,2.81,1.76,0542e45a6e3971be,13722812685708706309
178,593.452,0.8632,0,"[0, 0, 0, 0]",196.59,22.52,8.23,3.76,2.19,262b63ee21598d0e,1048592290515462950
179,596.786,0.8265,0,"[0, 0, 0, 0]",110.77,10.03,3.53,3.23,1.53,99c888a522b7ff4e,5692469813453572249
180,600.12,1.3293,0,"[0, 0, 0, 0]",36.96,5.34,3.05,2.65,2.09,178bf3b28363d852,5969630723373763351
181,603.454,1.3643,0,"[0, 0, 0, 0]",58.12,12.68,4.23,3.13,3.54,c65db6e890419175,8471624464695975366
182,606.788,0.5258,0,"[0, 0, 0, 0]",425.66,17.65,7.64,4.36,5.65,03db784f1a2aa39c,11286911383611431683
183,610.122,0.572,0,"[0, 0, 0, 0]",248.27,11.36,4.06,2.91,4.76,47c526c6cfeb18ac,12400920851579848007
184,613.456,0.4317,0,"[0, 0, 0, 0]",647.65,20.42,15.4,4.87,1.81,e6234a03c7a60e5c,6633422674847212518
185,616.79,0.9127,0,"[0, 0, 0, 0]",67.78,6.94,2.88,1.9,1.32,13122fc734586276,8530477627896435219
186,620.124,1.0774,0,"[0, 0, 0, 0]",46.16,8.45,1.9,1.61,0.96,167958031966ab31,3579066586492336406
187,623.458,1.1001,0,"[0, 0, 0, 0]",170.69,22.4,13.47,4.98,4.56,1056c66549f42149,5269761635077477904
188,626.792,1.1703,0,"[0, 0, 0, 0]",38.84,3.31,3.7,2.36,1.39,73d74c31860596b5,13084651841282430835
189,630.126,0.3798,0,"[0, 0, 0, 0]",343.61,10.21,4.16,2.36,1.97,ab5a8c9c38ea7183,9471609020202375851
190,633.46,0.0876,0,"[0, 0, 0, 0]",2113.23,4.54,2.47,4.8,6.43,69f60ddb36341298,10957878253553841769
191,636.794,0.819,0,"[0, 0, 0, 0]",228.41,22.14,6.58,4.19,4.83,da3d02160b246a00,29875977563815386
192,640.128,0.9581,0,"[0, 0, 0, 0]",301.57,30.64,10.54,10.08,10.04,a434176777da3723,2537737121412101284
193,643.462,0.9162,0,"[0, 0, 0, 0]",77.63,6.11,3.1,2.91,2.18,0aadb707111945b2,12845701073078824202
194,646.796,0.6585,0,"[0, 0, 0, 0]",205.11,8.92,3.2,3.73,7.03,b93d5f3c0322f137,4031040538766425529
195,650.13,1.7839,0,"[0, 0, 0, 0]",38.93,10.98,2.47,7.13,8.99,06bb7f7ef433ab03,264362128318642950
196,653.464,0.6624,0,"[0, 0, 0, 0]",265.37,15.97,7.69,4.61,2.74,9362dec90d104438,4054383215947702931
197,656.798,0.6369,0,"[0, 0, 0, 0]",416.14,42.48,6.97,3.21,1.62,9732c54cbf2ed49a,11156593576065184407
198,660.132,0.3517,0,"[0, 0, 0, 0]",631.97,30.1,3.75,1.59,0.79,6ae1ba85d563715c,6661215092580475242
199,663.466,0.7116,0,"[0, 0, 0, 0]",115.92,11.65,2.72,1.55,0.78,1102495b149d1caa,12257844996552065553
200,666.8,0.8571,-1,"[0, -1, 0, 0]",397.43,50.03,14.95,9.71,1.73,9919450c6c1988b2,12864560287436839321
201,670.134,0.8154,0,"[0, 0, 0, 0]",181.81,22.05,5.32,3.76,1.21,0683eb31672b3fe2,16302796898323628806
202,673.468,0.5283,0,"[0, 0, 0, 0]",307.14,17.12,7.13,2.35,1.06,87bde21b0e716e25,2697217532252831111
